conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1986646440144478253,Fri Nov 07 04:06:36 +0000 2025,0,Menteri Perdagangan (Mendag) Budi Santoso buka suara terkait tren masyarakat yang gemar membeli baju impor bekas atau thrifting. Dia mengingatkan bahwa hal tersebut merupakan tindakan terlarang dan masyarakat diminta memilih produk fashion dalam negeri. https://t.co/uoNVbrdCfL,1986646440144478253,,,in,,0,0,0,https://x.com/undefined/status/1986646440144478253,4755284968,
1986640662880788584,Fri Nov 07 03:45:45 +0000 2025,0,@sjwsantun ayo kita jadwalkan thrifting baju kerja itu,1986641193246343641,,sjwsantun,in,,0,1,0,https://x.com/undefined/status/1986641193246343641,941243650054406144,
1986498987701248404,Thu Nov 06 18:20:40 +0000 2025,0,Era thriting di market place Indonesia berakhir tahun 2025. Sejumlah Akun Toko tumbang massal terkena banned permanen akibat menjual pakaian bekas https://t.co/N2359q8Gxw,1986498987701248404,,,in,,0,1,0,https://x.com/undefined/status/1986498987701248404,537442450,
1986479639930544149,Thu Nov 06 17:03:47 +0000 2025,0,dapet baju bagus di pasar loak tuh sesenang ituu pgn thrifting lagi,1986479639930544149,,,in,,0,0,0,https://x.com/undefined/status/1986479639930544149,1289197162790711297,
1986453130041864479,Thu Nov 06 15:18:27 +0000 2025,0,Lagi jual thrifting kyk jual baju distro modal 35rb dijualny 120rb aja udh aneh,1986453130041864479,,,in,,0,0,0,https://x.com/undefined/status/1986453130041864479,256008602,
1986447961795256748,Thu Nov 06 14:57:55 +0000 2025,0,org2 bacot bgt masalah thrifting trs yg di pointing ILLEGAL nya but dont talk about how resellers baju impor china bkk yg udah menjamur. berarti disini masalah ILLEGAL karna ga BAYAR PAJAK dong bukan masalah UMKM dan industri textil? padahal baju2 cina lebih banyak pasarnya,1986447961795256748,,,in,,0,0,0,https://x.com/undefined/status/1986447961795256748,361549373,
1986044388611670506,Thu Nov 06 14:45:53 +0000 2025,0,@mistangelical Cayang terima kasih banyak! &lt;3 SERU BGT THRIFTING!! Dapet baju berapa dan kayak apa ajaa?,1986444935508471838,,mistangelical,in,,0,0,0,https://x.com/undefined/status/1986444935508471838,1814343400482807808,
1984671994277933419,Thu Nov 06 14:45:10 +0000 2025,0,@naxeon jadi mana baju hasil thrifting yg mami bawain buat dd?,1986444752641007628,,naxeon,in,,0,0,0,https://x.com/undefined/status/1986444752641007628,1290831085673123840,
1986437255230357901,Thu Nov 06 14:15:22 +0000 2025,0,even liat mereka beli baju di store aja vibes nya thrifting bgt https://t.co/VdVLVHeMPH,1986437255230357901,https://pbs.twimg.com/amplify_video_thumb/1986394736463388672/img/BJN5IkeRlvRBroIK.jpg,,in,,0,0,0,https://x.com/undefined/status/1986437255230357901,1328961923312996352,
1986397547666284892,Thu Nov 06 11:37:35 +0000 2025,1,Purbaya Larang Impor Baju Bekas Ecommerce Take Down Produk Thrifting https://t.co/jYB8PUSSpT,1986397547666284892,,,in,,0,0,0,https://x.com/undefined/status/1986397547666284892,847372542830444544,
