"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1994919099798098077","Sat Nov 29 23:59:11 +0000 2025","0","Maafya blm post2 dulu karna lg banjir dan mau bedrest tapi open jastip co shopee malaysia / lazada malaysia / shein / taobao / aliexpress / alibaba / carousell malaysia singapore bisa co tiap hari","1994919099798098077","","","in","","0","0","0","https://x.com/undefined/status/1994919099798098077","38772772",
"1994918996102291724","Sat Nov 29 23:58:47 +0000 2025","0","PATUNGAN Warga Bantu Warga #PrayForSumatra #AllEyesOnSumatra SUMATRA DARURAT‼️ Sibolga Padang Aceh Medan Hujan ekstrem memicu banjir &amp; longsor besar. Ribuan warga mengungsi. Akses Aceh Medan terputus akibat jembatan amblas. Di tengah kondisi genting ini https://t.co/68gUtbxLho","1994918996102291724","https://pbs.twimg.com/media/G69gQLVbkAELTKx.jpg","","in","","0","0","1","https://x.com/undefined/status/1994918996102291724","1794060249722417152",
"1994918922735555053","Sat Nov 29 23:58:29 +0000 2025","0","Keadaan ayahku gimana yaa soalnya di sana gk ada kabar sm sekali mana banjir parah banget. Terakhir aktif rabu.. :(","1994918922735555053","","","in","","0","0","0","https://x.com/undefined/status/1994918922735555053","1688023410063122432",
"1994918887822168568","Sat Nov 29 23:58:21 +0000 2025","0","Personel Siaga Batalyon B Pelopor Satbrimob Polda Sulbar Melaksanakan Patroli SAR Di wilayah rawan banjir Di Kec.karossa Kab.mamuju Tengah memastikan keselamatan warga serta siap melakukan evakuasi bila kondisi memburuk. @humaskorbrimob @BIDHumas_SB @BrimobSulbar https://t.co/UpfDqYOqeY","1994918887822168568","https://pbs.twimg.com/media/G69fttNbkAUwMhv.jpg","","in","","0","0","0","https://x.com/undefined/status/1994918887822168568","1952328879219388416",
"1994918705659285555","Sat Nov 29 23:57:37 +0000 2025","0","707 Titik Pemancar Sinyal Pulih Warga Mulai Bisa Terhubung Lagi Pasca Banjir https://t.co/PLr8F7ukyr https://t.co/rOjeAHWlT3","1994918705659285555","https://pbs.twimg.com/media/G69f_b5bQAAPMTP.jpg","","in","","0","0","0","https://x.com/undefined/status/1994918705659285555","317626075",
"1994787427723161652","Sat Nov 29 23:56:12 +0000 2025","0","@ppoeput Daerah rumahku ga banjir by tapi ke daerah medan kota pun gak banjir juga","1994918349550358710","","ppoeput","in","","0","0","0","https://x.com/undefined/status/1994918349550358710","1442833637255172105",
"1994918335008375016","Sat Nov 29 23:56:09 +0000 2025","1","Banjir Terjang Polewali Mandar Ratusan Rumah Terendam https://t.co/hK7MCO60A6","1994918335008375016","","","in","","0","0","0","https://x.com/undefined/status/1994918335008375016","154102750",
"1994053884956774807","Sat Nov 29 23:55:51 +0000 2025","0","@pagerisma @flofloret Namanya juga kandang monyet di kira banjir Sumatra di samain dengan banjir jakarta emang idiot","1994918260631113876","","pagerisma","in","","0","0","0","https://x.com/undefined/status/1994918260631113876","1481280964899000324",
"1994918225147301929","Sat Nov 29 23:55:43 +0000 2025","0","Udah seminggu gak lari badan kek masih remuk dua hari nguras banjir.","1994918225147301929","","","in","","0","0","0","https://x.com/undefined/status/1994918225147301929","172692534",
"1994918058520187009","Sat Nov 29 23:55:03 +0000 2025","1","Beberapa hari kedepan akan ada konten gibran blusukan ke posko dan nyamperin warga yg terdampak banjir sambil bagi bagi makanan dan susu. Jaminan.","1994918058520187009","","","in","","0","0","0","https://x.com/undefined/status/1994918058520187009","1234402639",
